year,month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,tailnum,flight,origin,dest,air_time,distance,hour,minute
2014,1,1,600.0,0.0,1151.0,-19.0,AA,N3JFAA,2240,SEA,ORD,206.0,1721,6.0,0.0
2014,1,1,600.0,-10.0,842.0,-8.0,AS,N786AS,426,SEA,LAX,125.0,954,6.0,0.0
2014,1,1,602.0,-3.0,943.0,5.0,F9,N201FR,144,SEA,DEN,129.0,1024,6.0,2.0
2014,1,1,602.0,-3.0,1204.0,7.0,UA,N77295,1573,PDX,ORD,203.0,1739,6.0,2.0
2014,1,1,603.0,-2.0,755.0,-17.0,AS,N577AS,344,SEA,OAK,94.0,672,6.0,3.0
2014,1,1,603.0,-3.0,1202.0,-2.0,UA,N37290,1136,SEA,ORD,203.0,1721,6.0,3.0
2014,1,1,606.0,-4.0,806.0,-19.0,AS,N525AS,308,SEA,SFO,98.0,679,6.0,6.0
2014,1,1,606.0,6.0,746.0,3.0,AS,N796AS,406,PDX,SJC,87.0,569,6.0,6.0
2014,1,1,614.0,-1.0,850.0,-2.0,AS,N607AS,524,SEA,SNA,135.0,978,6.0,14.0
2014,1,1,617.0,2.0,850.0,-12.0,AS,N579AS,494,SEA,SAN,131.0,1050,6.0,17.0
2014,1,1,618.0,-2.0,1135.0,-30.0,AA,N4XMAA,1650,PDX,DFW,184.0,1616,6.0,18.0
2014,1,1,619.0,-6.0,822.0,-7.0,VX,N841VA,751,SEA,SFO,101.0,679,6.0,19.0
2014,1,1,620.0,-2.0,905.0,0.0,OO,N804SK,4693,SEA,LAX,125.0,954,6.0,20.0
2014,1,1,622.0,2.0,1412.0,-19.0,UA,N36472,1021,PDX,EWR,270.0,2434,6.0,22.0
2014,1,1,623.0,13.0,1218.0,-4.0,UA,N72405,1101,SEA,IAH,213.0,1874,6.0,23.0
2014,1,1,624.0,-6.0,1401.0,-6.0,DL,N617DL,968,SEA,ATL,235.0,2182,6.0,24.0
2014,1,1,629.0,-9.0,1014.0,-1.0,UA,N566UA,883,SEA,DEN,132.0,1024,6.0,29.0
2014,1,1,630.0,-10.0,834.0,-14.0,OO,N219AG,3456,PDX,BUR,105.0,817,6.0,30.0
2014,1,1,632.0,-3.0,1235.0,5.0,WN,N8302F,3694,SEA,MDW,204.0,1733,6.0,32.0
2014,1,1,637.0,-8.0,858.0,-7.0,AS,N408AS,560,PDX,LAX,108.0,834,6.0,37.0
2014,1,1,637.0,-3.0,854.0,-6.0,AS,N588AS,572,PDX,SAN,120.0,933,6.0,37.0
2014,1,1,638.0,-2.0,1003.0,-5.0,AS,N508AS,646,PDX,PHX,125.0,1009,6.0,38.0
2014,1,1,638.0,10.0,1408.0,-4.0,UA,N526UA,250,PDX,IAD,253.0,2327,6.0,38.0
2014,1,1,639.0,-1.0,918.0,3.0,AS,N794AS,556,SEA,PSP,130.0,987,6.0,39.0
2014,1,1,639.0,-1.0,1216.0,-10.0,AS,N442AS,668,SEA,DFW,189.0,1660,6.0,39.0
2014,1,1,639.0,4.0,1219.0,-11.0,WN,N8308K,401,PDX,MDW,207.0,1751,6.0,39.0
2014,1,1,647.0,-3.0,923.0,-2.0,AS,N315AS,470,SEA,LAX,124.0,954,6.0,47.0
2014,1,1,647.0,-3.0,1038.0,19.0,AS,N553AS,682,SEA,DEN,136.0,1024,6.0,47.0
2014,1,1,648.0,-7.0,1203.0,-9.0,AS,N419AS,36,SEA,MSP,164.0,1399,6.0,48.0
2014,1,1,648.0,-12.0,910.0,-11.0,AS,N611AS,582,PDX,SNA,122.0,859,6.0,48.0
2014,1,1,650.0,90.0,1037.0,91.0,US,N626AW,460,SEA,PHX,141.0,1107,6.0,50.0
2014,1,1,654.0,-6.0,1047.0,-33.0,AS,N586AS,833,PDX,HNL,327.0,2603,6.0,54.0
2014,1,1,654.0,-6.0,1455.0,-10.0,DL,N686DA,418,SEA,JFK,273.0,2422,6.0,54.0
2014,1,1,655.0,-5.0,1210.0,-7.0,DL,N963DN,2090,PDX,MSP,168.0,1426,6.0,55.0
2014,1,1,656.0,-4.0,1242.0,-28.0,AA,N3KMAA,2218,PDX,ORD,200.0,1739,6.0,56.0
2014,1,1,656.0,-4.0,853.0,8.0,VX,N523VA,805,PDX,SFO,82.0,550,6.0,56.0
2014,1,1,700.0,0.0,844.0,-1.0,UA,N479UA,519,PDX,SFO,80.0,550,7.0,0.0
2014,1,1,701.0,-4.0,918.0,-6.0,AS,N618AS,606,SEA,LAS,115.0,867,7.0,1.0
2014,1,1,701.0,1.0,1036.0,-9.0,WN,N8318F,669,SEA,PHX,133.0,1107,7.0,1.0
2014,1,1,702.0,-3.0,932.0,-8.0,VX,N840VA,1780,SEA,LAX,127.0,954,7.0,2.0
2014,1,1,702.0,-8.0,940.0,-2.0,OO,N217AG,3472,SEA,LGB,130.0,965,7.0,2.0
2014,1,1,704.0,-6.0,1245.0,-20.0,AA,N3KNAA,1308,SEA,DFW,188.0,1660,7.0,4.0
2014,1,1,704.0,-1.0,910.0,-9.0,OO,N223AG,3460,PDX,ONT,106.0,838,7.0,4.0
2014,1,1,705.0,0.0,931.0,9.0,B6,N627JB,1121,PDX,LGB,113.0,846,7.0,5.0
2014,1,1,706.0,6.0,952.0,-13.0,AS,N306AS,726,SEA,SLC,86.0,689,7.0,6.0
2014,1,1,708.0,-7.0,1510.0,-19.0,AA,N3DNAA,236,SEA,JFK,281.0,2422,7.0,8.0
2014,1,1,708.0,-2.0,1453.0,-20.0,DL,N3772H,2258,PDX,JFK,267.0,2454,7.0,8.0
2014,1,1,709.0,-1.0,915.0,-5.0,AS,N558AS,332,SEA,SJC,103.0,697,7.0,9.0
2014,1,1,709.0,9.0,1209.0,-4.0,DL,N374NW,2314,SEA,MSP,160.0,1399,7.0,9.0
2014,1,1,710.0,-5.0,906.0,-21.0,AS,N309AS,244,PDX,SFO,82.0,550,7.0,10.0
2014,1,1,712.0,-3.0,1013.0,-1.0,DL,N355NW,2397,SEA,SLC,85.0,689,7.0,12.0
2014,1,1,713.0,20.0,1317.0,10.0,UA,N854UA,461,SEA,IAH,218.0,1874,7.0,13.0
2014,1,1,715.0,0.0,944.0,-10.0,AS,N617AS,478,SEA,LAX,127.0,954,7.0,15.0
2014,1,1,715.0,-5.0,1055.0,-47.0,AS,N536AS,855,PDX,KOA,326.0,2607,7.0,15.0
2014,1,1,717.0,-3.0,1057.0,-11.0,AS,N769AS,642,SEA,PHX,134.0,1107,7.0,17.0
2014,1,1,722.0,-3.0,933.0,3.0,WN,N407WN,947,PDX,LAS,101.0,763,7.0,22.0
2014,1,1,726.0,1.0,1117.0,17.0,WN,N603SW,2181,SEA,DEN,133.0,1024,7.0,26.0
2014,1,1,728.0,-2.0,951.0,-7.0,AS,N320AS,530,SEA,ONT,124.0,956,7.0,28.0
2014,1,1,735.0,5.0,940.0,-9.0,UA,N16732,1114,SEA,SFO,104.0,679,7.0,35.0
2014,1,1,739.0,14.0,1003.0,-2.0,AS,N518AS,240,SEA,SAN,132.0,1050,7.0,39.0
2014,1,1,741.0,31.0,947.0,19.0,AS,N431AS,222,SEA,SFO,96.0,679,7.0,41.0
2014,1,1,745.0,5.0,1327.0,7.0,WN,N924WN,3872,SEA,MKE,200.0,1694,7.0,45.0
2014,1,1,749.0,-6.0,1013.0,-3.0,AS,N627AS,522,SEA,BUR,122.0,937,7.0,49.0
2014,1,1,754.0,-6.0,1011.0,-14.0,AS,N706AS,568,PDX,LAX,111.0,834,7.0,54.0
2014,1,1,757.0,52.0,855.0,45.0,AS,N705AS,65,SEA,KTN,100.0,680,7.0,57.0
2014,1,1,801.0,-4.0,932.0,-18.0,WN,N447WN,48,PDX,OAK,78.0,543,8.0,1.0
2014,1,1,802.0,-3.0,1533.0,-17.0,AS,N532AS,742,SEA,ATL,249.0,2182,8.0,2.0
2014,1,1,809.0,-1.0,1021.0,-8.0,AS,N557AS,600,SEA,LAS,115.0,867,8.0,9.0
2014,1,1,809.0,-6.0,1326.0,-5.0,DL,N951DN,1588,PDX,MSP,170.0,1426,8.0,9.0
2014,1,1,810.0,-10.0,1419.0,-11.0,AA,N3DSAA,1236,SEA,ORD,202.0,1721,8.0,10.0
2014,1,1,810.0,0.0,1604.0,-2.0,AS,N514AS,4,SEA,DCA,259.0,2329,8.0,10.0
2014,1,1,817.0,17.0,1045.0,-4.0,AS,N529AS,83,SEA,ANC,184.0,1448,8.0,17.0
2014,1,1,817.0,-3.0,1158.0,-7.0,WN,N379SW,253,SEA,ABQ,138.0,1180,8.0,17.0
2014,1,1,819.0,14.0,1343.0,-7.0,AA,N4XPAA,1220,PDX,DFW,178.0,1616,8.0,19.0
2014,1,1,821.0,10.0,1552.0,-8.0,UA,N514UA,419,SEA,IAD,250.0,2306,8.0,21.0
2014,1,1,824.0,-1.0,1546.0,-14.0,DL,N633DL,128,SEA,ATL,234.0,2182,8.0,24.0
2014,1,1,825.0,-5.0,1412.0,-3.0,AA,N3BDAA,312,SEA,DFW,183.0,1660,8.0,25.0
2014,1,1,825.0,25.0,1650.0,30.0,AS,N551AS,16,SEA,MCO,301.0,2554,8.0,25.0
2014,1,1,825.0,-5.0,1436.0,15.0,AS,N305AS,28,SEA,ORD,202.0,1721,8.0,25.0
2014,1,1,825.0,0.0,1352.0,10.0,DL,N584NW,588,SEA,MSP,162.0,1399,8.0,25.0
2014,1,1,827.0,2.0,1414.0,-16.0,UA,N38446,1510,PDX,IAH,210.0,1825,8.0,27.0
2014,1,1,829.0,-1.0,1228.0,-22.0,AS,N563AS,861,SEA,OGG,338.0,2640,8.0,29.0
2014,1,1,830.0,0.0,1206.0,-12.0,US,N667AW,440,SEA,PHX,132.0,1107,8.0,30.0
2014,1,1,833.0,-2.0,1351.0,-9.0,WN,N200WN,41,SEA,MCI,175.0,1489,8.0,33.0
2014,1,1,834.0,-1.0,1107.0,-7.0,AS,N624AS,502,SEA,SNA,136.0,978,8.0,34.0
2014,1,1,834.0,-1.0,1632.0,-9.0,US,N650AW,553,SEA,PHL,273.0,2378,8.0,34.0
2014,1,1,840.0,-5.0,1226.0,16.0,WN,N940WN,644,PDX,DEN,125.0,991,8.0,40.0
2014,1,1,843.0,-2.0,1159.0,-14.0,US,N664AW,685,PDX,PHX,122.0,1009,8.0,43.0
2014,1,1,845.0,0.0,1640.0,-9.0,AS,N407AS,32,SEA,PHL,263.0,2378,8.0,45.0
2014,1,1,846.0,-4.0,1114.0,-16.0,WN,N772SW,223,PDX,SLC,77.0,630,8.0,46.0
2014,1,1,857.0,7.0,1303.0,-22.0,AS,N512AS,875,SEA,LIH,338.0,2701,8.0,57.0
2014,1,1,916.0,36.0,1802.0,39.0,AS,N528AS,34,SEA,FLL,326.0,2717,9.0,16.0
2014,1,1,919.0,-6.0,1719.0,-16.0,AS,N535AS,30,PDX,BOS,276.0,2537,9.0,19.0
2014,1,1,919.0,39.0,1307.0,12.0,HA,N383HA,21,SEA,HNL,330.0,2677,9.0,19.0
2014,1,1,922.0,17.0,1718.0,4.0,AS,N423AS,8,SEA,EWR,272.0,2402,9.0,22.0
2014,1,1,923.0,13.0,1208.0,21.0,AS,N615AS,558,SEA,PSP,134.0,987,9.0,23.0
2014,1,1,925.0,-2.0,1106.0,-17.0,OO,N918SW,6307,PDX,SFO,85.0,550,9.0,25.0
2014,1,1,934.0,-1.0,1743.0,-12.0,AS,N593AS,12,SEA,BOS,276.0,2496,9.0,34.0
2014,1,1,938.0,-2.0,1637.0,-14.0,DL,N378NW,2424,SEA,DTW,220.0,1927,9.0,38.0
2014,1,1,944.0,-6.0,1727.0,-8.0,AS,N548AS,752,PDX,ATL,252.0,2172,9.0,44.0
2014,1,1,946.0,-4.0,1220.0,-38.0,AS,N793AS,131,PDX,ANC,197.0,1542,9.0,46.0
2014,1,1,947.0,-3.0,1145.0,-10.0,VX,N530VA,753,SEA,SFO,103.0,679,9.0,47.0
2014,1,1,949.0,-6.0,1148.0,-18.0,AS,N756AS,314,SEA,SFO,100.0,679,9.0,49.0
2014,1,1,949.0,-1.0,1108.0,-12.0,WN,N701GS,3572,PDX,SMF,65.0,479,9.0,49.0
2014,1,1,951.0,-4.0,1716.0,-24.0,AS,N583AS,764,PDX,DCA,252.0,2350,9.0,51.0
2014,1,1,952.0,-3.0,1223.0,-14.0,AS,N791AS,238,SEA,SAN,135.0,1050,9.0,52.0
2014,1,1,952.0,7.0,1345.0,10.0,AS,N609AS,644,SEA,PHX,138.0,1107,9.0,52.0
2014,1,1,953.0,-2.0,1339.0,12.0,AS,N625AS,680,SEA,DEN,125.0,1024,9.0,53.0
2014,1,1,956.0,-4.0,1358.0,-12.0,HA,N390HA,29,SEA,OGG,337.0,2640,9.0,56.0
2014,1,1,959.0,59.0,1211.0,51.0,AS,N409AS,614,SEA,LAS,113.0,867,9.0,59.0
2014,1,1,959.0,164.0,1137.0,157.0,AS,N534AS,805,SEA,SMF,77.0,605,9.0,59.0
2014,1,1,1001.0,1.0,1157.0,-5.0,AS,N546AS,346,SEA,OAK,98.0,672,10.0,1.0
2014,1,1,1005.0,-5.0,1608.0,2.0,AS,N619AS,686,PDX,ORD,222.0,1739,10.0,5.0
2014,1,1,1008.0,68.0,1242.0,64.0,AS,N788AS,456,SEA,LAX,129.0,954,10.0,8.0
2014,1,1,1011.0,-4.0,1535.0,-29.0,AS,N585AS,658,PDX,DFW,178.0,1616,10.0,11.0
2014,1,1,1014.0,-1.0,1429.0,-11.0,AS,N594AS,843,SEA,KOA,346.0,2688,10.0,14.0
2014,1,1,1014.0,-1.0,1357.0,-23.0,HA,N386HA,25,PDX,HNL,324.0,2603,10.0,14.0
2014,1,1,1014.0,75.0,1613.0,81.0,UA,N37408,1444,SEA,ORD,201.0,1721,10.0,14.0
2014,1,1,1021.0,-9.0,1347.0,-10.0,AS,N318AS,640,PDX,PHX,126.0,1009,10.0,21.0
2014,1,1,1022.0,-3.0,1309.0,-6.0,DL,N3757D,1857,SEA,SLC,84.0,689,10.0,22.0
2014,1,1,1023.0,-7.0,1407.0,-38.0,AS,N589AS,803,PDX,LIH,331.0,2631,10.0,23.0
2014,1,1,1027.0,-2.0,1242.0,-16.0,OO,N982SW,6518,PDX,LAX,115.0,834,10.0,27.0
2014,1,1,1028.0,-12.0,1533.0,-12.0,OO,N216AG,3468,SEA,OMA,162.0,1368,10.0,28.0
2014,1,1,1034.0,14.0,1633.0,6.0,AS,N413AS,730,SEA,IAH,214.0,1874,10.0,34.0
2014,1,1,1036.0,81.0,1408.0,63.0,OO,N218AG,3466,PDX,TUS,134.0,1119,10.0,36.0
2014,1,1,1037.0,2.0,1452.0,-13.0,AS,N538AS,851,SEA,HNL,339.0,2677,10.0,37.0
2014,1,1,1039.0,4.0,1325.0,-5.0,WN,N262WN,490,SEA,SLC,87.0,689,10.0,39.0
2014,1,1,1043.0,-8.0,1226.0,-13.0,OO,N937SW,5243,PDX,SFO,87.0,550,10.0,43.0
2014,1,1,1045.0,10.0,1311.0,-14.0,AS,N564AS,127,SEA,ANC,181.0,1448,10.0,45.0
2014,1,1,1045.0,40.0,1303.0,40.0,AS,N614AS,580,PDX,SNA,123.0,859,10.0,45.0
2014,1,1,1052.0,-3.0,1316.0,-9.0,VX,N844VA,784,SEA,LAX,126.0,954,10.0,52.0
2014,1,1,1052.0,2.0,1603.0,-2.0,WN,N756SA,899,PDX,MCI,174.0,1482,10.0,52.0
2014,1,1,1054.0,94.0,1807.0,84.0,DL,N377DA,1502,PDX,ATL,237.0,2172,10.0,54.0
2014,1,1,1055.0,-5.0,1312.0,-1.0,AS,N796AS,564,PDX,LAX,115.0,834,10.0,55.0
2014,1,1,1056.0,-4.0,1318.0,-16.0,B6,N646JB,107,SEA,LGB,126.0,965,10.0,56.0
2014,1,1,1059.0,44.0,1325.0,32.0,DL,N335NB,2189,PDX,SLC,75.0,630,10.0,59.0
2014,1,1,1102.0,2.0,1307.0,-13.0,AS,N549AS,316,SEA,SFO,98.0,679,11.0,2.0
2014,1,1,1102.0,2.0,1425.0,-5.0,WN,N697SW,1537,PDX,PHX,127.0,1009,11.0,2.0
2014,1,1,1105.0,15.0,1319.0,5.0,OO,N215AG,3482,SEA,SBA,114.0,908,11.0,5.0
2014,1,1,1105.0,3.0,1651.0,-4.0,UA,N15712,1281,SEA,ORD,198.0,1721,11.0,5.0
2014,1,1,1111.0,16.0,1434.0,7.0,UA,N27239,1083,SEA,DEN,122.0,1024,11.0,11.0
2014,1,1,1113.0,-2.0,1638.0,-27.0,AA,N3GJAA,1311,SEA,DFW,184.0,1660,11.0,13.0
2014,1,1,1113.0,-2.0,1427.0,-8.0,WN,N293WN,3042,PDX,DEN,121.0,991,11.0,13.0
2014,1,1,1117.0,37.0,1436.0,36.0,F9,N221FR,788,PDX,DEN,121.0,991,11.0,17.0
2014,1,1,1119.0,-1.0,1246.0,-11.0,AS,N708AS,75,SEA,JNU,129.0,909,11.0,19.0
2014,1,1,1122.0,41.0,1451.0,41.0,F9,N220FR,138,SEA,DEN,126.0,1024,11.0,22.0
2014,1,1,1123.0,-2.0,1442.0,-12.0,US,N803AW,634,PDX,PHX,121.0,1009,11.0,23.0
2014,1,1,1126.0,-4.0,1916.0,-19.0,US,N196UW,2019,SEA,PHL,267.0,2378,11.0,26.0
2014,1,1,1127.0,57.0,1400.0,52.0,OO,N824SK,4564,SEA,LAX,122.0,954,11.0,27.0
2014,1,1,1130.0,60.0,1646.0,56.0,AS,N552AS,762,SEA,MCI,177.0,1489,11.0,30.0
2014,1,1,1130.0,0.0,1324.0,-11.0,WN,N726SW,4444,PDX,LAS,103.0,763,11.0,30.0
2014,1,1,1131.0,1.0,1337.0,2.0,WN,N900WN,3603,SEA,OAK,101.0,672,11.0,31.0
2014,1,1,1132.0,-8.0,1839.0,0.0,DL,N374DA,2123,PDX,DTW,219.0,1953,11.0,32.0
2014,1,1,1135.0,-5.0,1422.0,5.0,AS,N537AS,500,SEA,SNA,126.0,978,11.0,35.0
2014,1,1,1136.0,11.0,1349.0,19.0,OO,N784SK,5214,SEA,SFO,102.0,679,11.0,36.0
2014,1,1,1137.0,52.0,1408.0,45.0,AS,N433AS,460,SEA,LAX,129.0,954,11.0,37.0
2014,1,1,1139.0,104.0,1335.0,85.0,UA,N802UA,698,SEA,SFO,94.0,679,11.0,39.0
2014,1,1,1144.0,-1.0,1729.0,-11.0,AS,N303AS,656,SEA,AUS,202.0,1770,11.0,44.0
2014,1,1,1145.0,13.0,1649.0,6.0,DL,N3744F,1380,SEA,MSP,159.0,1399,11.0,45.0
2014,1,1,1147.0,17.0,1415.0,24.0,AS,N565AS,578,PDX,SAN,119.0,933,11.0,47.0
2014,1,1,1147.0,-3.0,1349.0,-6.0,OO,N693BR,3496,SEA,FAT,97.0,748,11.0,47.0
2014,1,1,1148.0,-2.0,1411.0,1.0,OO,N625CA,4469,PDX,LAX,116.0,834,11.0,48.0
2014,1,1,1150.0,4.0,1400.0,-1.0,B6,N789JB,1521,PDX,LGB,115.0,846,11.0,50.0
2014,1,1,1153.0,-2.0,1750.0,14.0,AS,N524AS,754,SEA,STL,193.0,1709,11.0,53.0
2014,1,1,1156.0,1.0,1315.0,-5.0,WN,N774SW,361,PDX,SMF,67.0,479,11.0,56.0
2014,1,1,1156.0,0.0,1235.0,-3.0,OO,N237SW,5325,PDX,RDM,27.0,116,11.0,56.0
2014,1,1,1158.0,6.0,1915.0,-14.0,DL,N6712B,1962,SEA,ATL,234.0,2182,11.0,58.0
2014,1,1,1158.0,16.0,1241.0,19.0,OO,N295SW,5438,PDX,EUG,27.0,106,11.0,58.0
2014,1,1,1201.0,-4.0,1340.0,-10.0,VX,N523VA,817,PDX,SFO,85.0,550,12.0,1.0
2014,1,1,1201.0,-1.0,1816.0,11.0,UA,N424UA,277,PDX,IAH,212.0,1825,12.0,1.0
2014,1,1,1202.0,-3.0,1834.0,19.0,AA,N3HMAA,1628,SEA,ORD,202.0,1721,12.0,2.0
2014,1,1,1203.0,-7.0,1456.0,8.0,AS,N626AS,484,SEA,SAN,134.0,1050,12.0,3.0
2014,1,1,1203.0,13.0,1429.0,14.0,WN,N788SA,3390,SEA,LAS,117.0,867,12.0,3.0
2014,1,1,1209.0,-6.0,1413.0,-9.0,AS,N556AS,324,SEA,SJC,103.0,697,12.0,9.0
2014,1,1,1209.0,-6.0,1417.0,-4.0,OO,N219AG,3454,PDX,BUR,109.0,817,12.0,9.0
2014,1,1,1212.0,11.0,1808.0,-5.0,UA,N513UA,674,SEA,IAH,209.0,1874,12.0,12.0
2014,1,1,1215.0,5.0,1353.0,-2.0,WN,N615SW,1049,PDX,SJC,86.0,569,12.0,15.0
2014,1,1,1220.0,15.0,1544.0,9.0,WN,N613SW,3518,PDX,ABQ,132.0,1111,12.0,20.0
2014,1,1,1223.0,-2.0,1625.0,12.0,AS,N523AS,648,SEA,TUS,146.0,1216,12.0,23.0
2014,1,1,1223.0,57.0,1814.0,54.0,UA,N470UA,646,PDX,ORD,201.0,1739,12.0,23.0
2014,1,1,1228.0,-2.0,1427.0,-8.0,AS,N767AS,312,SEA,SFO,101.0,679,12.0,28.0
2014,1,1,1231.0,21.0,1822.0,27.0,AA,N4YRAA,1568,PDX,DFW,194.0,1616,12.0,31.0
2014,1,1,1233.0,-2.0,1446.0,-12.0,AS,N440AS,610,SEA,LAS,116.0,867,12.0,33.0
2014,1,1,1235.0,-5.0,1822.0,-20.0,AS,N587AS,692,SEA,SAT,201.0,1774,12.0,35.0
2014,1,1,1237.0,37.0,1604.0,14.0,WN,N961WN,3696,SEA,PHX,131.0,1107,12.0,37.0
2014,1,1,1238.0,78.0,1614.0,39.0,AS,N560AS,809,PDX,OGG,322.0,2562,12.0,38.0
2014,1,1,1238.0,68.0,1606.0,62.0,OO,N947SW,5576,PDX,DEN,126.0,991,12.0,38.0
2014,1,1,1239.0,34.0,1605.0,25.0,WN,N8317M,3300,SEA,DEN,126.0,1024,12.0,39.0
2014,1,1,1242.0,-3.0,1515.0,-20.0,AS,N568AS,113,SEA,ANC,180.0,1448,12.0,42.0
2014,1,1,1242.0,70.0,1617.0,58.0,US,N625AW,614,SEA,PHX,134.0,1107,12.0,42.0
2014,1,1,1243.0,-7.0,1440.0,0.0,AS,N607AS,388,PDX,SFO,86.0,550,12.0,43.0
2014,1,1,1245.0,-10.0,1454.0,-3.0,AS,N622AS,622,PDX,LAS,105.0,763,12.0,45.0
2014,1,1,1245.0,98.0,1345.0,103.0,OO,N229SW,5397,PDX,SEA,40.0,129,12.0,45.0
2014,1,1,1250.0,45.0,1342.0,42.0,AS,N644AS,674,SEA,GEG,35.0,224,12.0,50.0
2014,1,1,1251.0,-9.0,1752.0,-26.0,DL,N949DN,1950,SEA,MSP,161.0,1399,12.0,51.0
2014,1,1,1253.0,-7.0,1808.0,-8.0,DL,N964DN,2164,PDX,MSP,174.0,1426,12.0,53.0
2014,1,1,1254.0,49.0,1524.0,35.0,OO,N925SW,6371,SEA,LAX,126.0,954,12.0,54.0
2014,1,1,1255.0,30.0,1434.0,24.0,WN,N383SW,806,PDX,OAK,81.0,543,12.0,55.0
2014,1,1,1258.0,25.0,1438.0,12.0,UA,N464UA,353,PDX,SFO,81.0,550,12.0,58.0
2014,1,1,1258.0,44.0,1450.0,21.0,UA,N498UA,842,SEA,SFO,94.0,679,12.0,58.0
2014,1,1,1259.0,-1.0,1536.0,1.0,AS,N703AS,554,SEA,PSP,136.0,987,12.0,59.0
2014,1,1,1302.0,-3.0,1836.0,-15.0,AS,N403AS,664,SEA,DFW,183.0,1660,13.0,2.0
2014,1,1,1303.0,28.0,1912.0,39.0,AS,N307AS,22,SEA,ORD,202.0,1721,13.0,3.0
2014,1,1,1303.0,3.0,1810.0,-10.0,AS,N558AS,38,SEA,MSP,168.0,1399,13.0,3.0
2014,1,1,1305.0,5.0,1536.0,-17.0,UA,N38454,1192,SEA,ANC,187.0,1448,13.0,5.0
2014,1,1,1308.0,38.0,1446.0,31.0,WN,N385SW,407,SEA,SMF,83.0,605,13.0,8.0
2014,1,1,1309.0,-6.0,1558.0,-11.0,DL,N324US,2157,SEA,SLC,85.0,689,13.0,9.0
2014,1,1,1309.0,19.0,1447.0,17.0,WN,N936WN,518,SEA,RNO,74.0,564,13.0,9.0
2014,1,1,1310.0,-5.0,1523.0,-7.0,OO,N223AG,3478,PDX,LGB,117.0,846,13.0,10.0
2014,1,1,1314.0,-6.0,1547.0,-13.0,DL,N355NW,2093,PDX,SLC,77.0,630,13.0,14.0
2014,1,1,1320.0,0.0,1604.0,-21.0,AS,N531AS,724,SEA,SLC,86.0,689,13.0,20.0
2014,1,1,1321.0,-4.0,1550.0,-35.0,AS,N612AS,123,SEA,FAI,191.0,1533,13.0,21.0
2014,1,1,1323.0,-2.0,2038.0,-15.0,DL,N393DA,773,PDX,ATL,235.0,2172,13.0,23.0
2014,1,1,1323.0,3.0,2102.0,-12.0,US,N199UW,1897,SEA,CLT,254.0,2279,13.0,23.0
2014,1,1,1325.0,5.0,1518.0,-7.0,WN,N444WN,425,PDX,LAS,103.0,763,13.0,25.0
2014,1,1,1326.0,-6.0,1509.0,-16.0,UA,N832UA,367,PDX,SFO,86.0,550,13.0,26.0
2014,1,1,1327.0,2.0,1526.0,1.0,WN,N498WN,1356,SEA,OAK,99.0,672,13.0,27.0
2014,1,1,1331.0,-4.0,1632.0,-16.0,OO,N217AG,3452,SEA,HDN,105.0,891,13.0,31.0
2014,1,1,1340.0,-5.0,1452.0,-13.0,WN,N436WN,103,PDX,RNO,59.0,444,13.0,40.0
2014,1,1,1347.0,-3.0,1533.0,-2.0,AS,N306AS,362,SEA,SMF,82.0,605,13.0,47.0
